277,101060508,二道江
278,101060601,白城
279,101060602,洮南
280,101060603,大安
281,101060604,镇赉
282,101060605,通榆
283,101060606,洮北
284,101060701,辽源
285,101060702,东丰
286,101060703,东辽
287,101060704,龙山
288,101060705,西安
289,101060801,松原
290,101060802,乾安
291,101060803,前郭
292,101060804,长岭
293,101060805,扶余
294,101060806,宁江
295,101060901,白山
296,101060902,靖宇
297,101060903,临江
298,101060904,东岗
299,101060905,长白
300,101060906,抚松
301,101060907,江源
302,101060908,浑江
303,101070101,沈阳
304,101070102,浑南
305,101070103,辽中
306,101070104,康平
307,101070105,法库
308,101070106,新民
309,101070107,和平
310,101070108,沈河
311,101070109,大东
312,101070110,皇姑
313,101070111,铁西
314,101070112,苏家屯
315,101070113,沈北新区
316,101070114,于洪
317,101070201,大连
318,101070202,瓦房店
319,101070203,金州
320,101070204,普兰店
321,101070205,旅顺
322,101070206,长海
323,101070207,庄河
324,101070208,中山
325,101070209,西岗
326,101070210,沙河口
327,101070211,甘井子
328,101070301,鞍山
329,101070302,台安
330,101070303,岫岩
331,101070304,海城
332,101070305,铁东
333,101070306,铁西
334,101070307,立山
335,101070308,千山
336,101070401,抚顺
337,101070402,新宾
338,101070403,清原
339,101070405,新抚
340,101070406,东洲
341,101070407,望花
342,101070408,顺城
343,101070501,本溪
344,101070502,本溪县
345,101070503,平山
346,101070504,桓仁
347,101070505,溪湖
348,101070506,明山
349,101070507,南芬
350,101070601,丹东
351,101070602,凤城
352,101070603,宽甸
353,101070604,东港
354,101070605,元宝
355,101070606,振兴
356,101070607,振安
357,101070701,锦州
358,101070702,凌海
359,101070703,古塔
360,101070704,义县
361,101070705,黑山
362,101070706,北镇
363,101070707,凌河
364,101070708,太和
365,101070801,营口
366,101070802,大石桥
367,101070803,盖州
368,101070804,站前
369,101070805,西市
370,101070806,鲅鱼圈
371,101070807,老边
372,101070901,阜新
373,101070902,彰武
374,101070903,海州
375,101070904,新邱
376,101070905,太平
377,101070906,清河门
378,101070907,细河
379,101071001,辽阳
380,101071002,辽阳县
381,101071003,灯塔
382,101071004,弓长岭
383,101071005,白塔
384,101071006,文圣
385,101071007,宏伟
386,101071008,太子河
387,101071101,铁岭
388,101071102,开原
389,101071103,昌图
390,101071104,西丰
391,101071105,调兵山
392,101071106,银州
393,101071107,清河
394,101071201,朝阳
395,101071202,双塔
396,101071203,凌源
397,101071204,喀左
398,101071205,北票
399,101071206,龙城
400,101071207,建平县
401,101071301,盘锦
402,101071302,大洼
403,101071303,盘山
404,101071304,双台子
405,101071305,兴隆台
406,101071401,葫芦岛
407,101071402,建昌
408,101071403,绥中
409,101071404,兴城
410,101071405,连山
411,101071406,龙港
412,101071407,南票
413,101080101,呼和浩特
414,101080102,土左旗
415,101080103,托县
416,101080104,和林
417,101080105,清水河
418,101080106,赛罕
419,101080107,武川
420,101080108,新城
421,101080109,回民
422,101080110,玉泉
423,101080201,包头
424,101080202,白云鄂博
425,101080203,满都拉
426,101080204,土右旗
427,101080205,固阳
428,101080206,达茂旗
429,101080207,希拉穆仁
430,101080208,东河
431,101080209,昆都仑
432,101080210,青山
433,101080211,石拐
434,101080212,九原
435,101080301,乌海
436,101080302,海勃湾
437,101080303,海南
438,101080304,乌达
439,101080401,集宁
440,101080402,卓资
441,101080403,化德
442,101080404,商都
443,101080405,乌兰察布
444,101080406,兴和
445,101080407,凉城
446,101080408,察右前旗
447,101080409,察右中旗
448,101080410,察右后旗
449,101080411,四子王旗
450,101080412,丰镇
451,101080501,通辽
452,101080502,舍伯吐
453,101080503,科左中旗
454,101080504,科左后旗
455,101080505,青龙山
456,101080506,开鲁
457,101080507,库伦
458,101080508,奈曼
459,101080509,扎鲁特
460,101080510,科尔沁
461,101080511,巴雅尔吐胡硕
462,101080512,霍林郭勒
463,101080601,赤峰
464,101080602,红山
465,101080603,阿鲁旗
466,101080605,巴林左旗
467,101080606,巴林右旗
468,101080607,林西
469,101080608,克什克腾
470,101080609,翁牛特
471,101080610,岗子
472,101080611,喀喇沁
473,101080612,八里罕
474,101080613,宁城
475,101080614,敖汉
476,101080616,元宝山
477,101080617,松山
478,101080618,富河
479,101080619,宝国图
480,101080701,鄂尔多斯
481,101080703,达拉特
482,101080704,准格尔
483,101080705,鄂前旗
484,101080706,河南
485,101080707,伊和乌素
486,101080708,鄂托克
487,101080709,杭锦旗
488,101080710,乌审旗
489,101080711,伊金霍洛
490,101080712,乌审召
491,101080713,东胜
492,101080714,康巴什
493,101080801,临河
494,101080802,五原
495,101080803,磴口
496,101080804,乌前旗
497,101080805,大佘太
498,101080806,乌中旗
499,101080807,乌后旗
500,101080808,海力素
501,101080809,那仁宝力格
502,101080810,杭锦后旗
503,101080811,巴彦淖尔
504,101080901,锡林浩特
505,101080902,锡林郭勒
506,101080903,二连浩特
507,101080904,阿巴嘎
508,101080906,苏左旗
509,101080907,苏右旗
510,101080908,朱日和
511,101080909,东乌旗
512,101080910,西乌旗
513,101080911,太仆寺旗
514,101080912,镶黄旗
515,101080913,正镶白旗
516,101080914,正蓝旗
517,101080915,多伦
518,101080916,博克图
519,101080917,乌拉盖
520,101081001,海拉尔
521,101081002,小二沟
522,101081003,阿荣旗
523,101081004,莫力达瓦
524,101081005,鄂伦春旗
525,101081006,鄂温克旗
526,101081007,陈旗
527,101081008,新左旗
528,101081009,新右旗
529,101081010,满洲里
530,101081011,牙克石
531,101081012,扎兰屯
532,101081013,呼伦贝尔
533,101081014,额尔古纳
534,101081015,根河
535,101081016,图里河
536,101081017,扎赉诺尔
537,101081101,乌兰浩特
538,101081102,阿尔山
539,101081103,科右中旗
540,101081104,胡尔勒
541,101081105,扎赉特
542,101081106,索伦
543,101081107,突泉
544,101081108,兴安盟
545,101081109,科右前旗
546,101081110,高力板
547,101081201,阿左旗
548,101081202,阿右旗
549,101081203,额济纳
550,101081204,拐子湖
551,101081205,吉兰泰
552,101081209,巴彦诺日公
553,101081210,雅布赖
554,101081211,乌斯太
555,101081212,孪井滩
556,101081213,阿拉善盟
557,101090101,石家庄
558,101090102,井陉
559,101090103,正定
560,101090104,栾城
561,101090105,行唐
562,101090106,灵寿
563,101090107,高邑
564,101090108,深泽
565,101090109,赞皇
566,101090110,无极
567,101090111,平山
568,101090112,元氏
569,101090113,赵县
570,101090114,辛集
571,101090115,藁城
572,101090116,晋州
573,101090117,新乐
574,101090118,鹿泉
575,101090119,长安
576,101090120,桥西
577,101090121,新华
578,101090122,井陉矿区
579,101090123,裕华
580,101090201,保定
581,101090202,满城
582,101090203,阜平
583,101090204,徐水
584,101090205,唐县
585,101090206,高阳
586,101090208,竞秀
587,101090209,涞源
588,101090210,望都
589,101090212,易县
590,101090213,莲池
591,101090214,曲阳
592,101090215,蠡县
593,101090216,顺平
594,101090218,涿州
595,101090219,定州
596,101090220,安国
597,101090221,高碑店
598,101090222,涞水
599,101090223,定兴
600,101090224,清苑
601,101090225,博野
602,101090301,张家口
603,101090302,宣化
604,101090303,张北
605,101090304,康保
606,101090305,沽源
607,101090306,尚义
608,101090307,蔚县
609,101090308,阳原
610,101090309,怀安
611,101090310,万全
612,101090311,怀来
613,101090312,涿鹿
614,101090313,赤城
615,101090314,崇礼
616,101090315,桥东
617,101090316,桥西
618,101090317,下花园
619,101090401,双桥
620,101090402,承德
621,101090403,承德县
622,101090404,兴隆
623,101090405,平泉
624,101090406,滦平
625,101090407,隆化
626,101090408,丰宁
627,101090409,宽城
628,101090410,围场
629,101090411,双滦
630,101090412,鹰手营子矿
631,101090501,唐山
632,101090502,丰南
633,101090503,丰润
634,101090504,滦州
635,101090505,滦南
636,101090506,乐亭
637,101090507,迁西
638,101090508,玉田
639,101090509,曹妃甸
640,101090510,遵化
641,101090511,迁安
642,101090513,路南
643,101090514,路北
644,101090515,古冶
645,101090516,开平
646,101090601,廊坊
647,101090602,固安
648,101090603,永清
649,101090604,香河
650,101090605,大城
651,101090606,文安
652,101090607,大厂
653,101090608,霸州
654,101090609,三河
655,101090610,安次
656,101090611,广阳
657,101090701,沧州
658,101090702,青县
659,101090703,东光
660,101090704,海兴
661,101090705,盐山
662,101090706,肃宁
663,101090707,南皮
664,101090708,吴桥
665,101090709,献县
666,101090710,孟村
667,101090711,泊头
668,101090712,任丘
669,101090713,黄骅
670,101090714,河间
671,101090715,新华
672,101090716,沧县
673,101090717,运河
674,101090801,衡水
675,101090802,枣强
676,101090803,武邑
677,101090804,武强
678,101090805,饶阳
679,101090806,安平
680,101090807,故城
681,101090808,景县
682,101090809,阜城
683,101090810,冀州
684,101090811,深州
685,101090812,桃城
686,101090901,邢台
687,101090902,临城
688,101090903,桥东
689,101090904,内丘
690,101090905,柏乡
691,101090906,隆尧
692,101090907,南和
693,101090908,宁晋
694,101090909,巨鹿
695,101090910,新河
696,101090911,广宗
697,101090912,平乡
698,101090913,威县
699,101090914,清河
700,101090915,临西
701,101090916,南宫
702,101090917,沙河
703,101090918,任县
704,101090919,桥西
705,101091001,邯郸
706,101091002,峰峰
707,101091003,临漳
708,101091004,成安
709,101091005,大名
710,101091006,涉县
711,101091007,磁县
712,101091008,肥乡
713,101091009,永年
714,101091010,邱县
715,101091011,鸡泽
716,101091012,广平
717,101091013,馆陶
718,101091014,魏县
719,101091015,曲周
720,101091016,武安
721,101091017,邯山
722,101091018,丛台
723,101091019,复兴
724,101091101,秦皇岛
725,101091102,青龙
726,101091103,昌黎
727,101091104,抚宁
728,101091105,卢龙
729,101091106,北戴河
730,101091107,海港
731,101091108,山海关
732,101091201,雄安新区
733,101091202,容城
734,101091203,安新
735,101091204,雄县
736,101100101,太原
737,101100102,清徐
738,101100103,阳曲
739,101100104,娄烦
740,101100105,古交
741,101100106,尖草坪区
742,101100107,小店区
743,101100108,迎泽
744,101100109,杏花岭
745,101100110,万柏林
746,101100111,晋源
747,101100201,大同
748,101100202,阳高
749,101100203,云州
750,101100204,天镇
751,101100205,广灵
752,101100206,灵丘
753,101100207,浑源
754,101100208,左云
755,101100209,矿区
756,101100210,南郊
757,101100211,新荣
758,101100301,阳泉
759,101100302,盂县
760,101100303,平定
761,101100304,矿区
762,101100305,郊区
763,101100401,晋中
764,101100402,榆次
765,101100403,榆社
766,101100404,左权
767,101100405,和顺
768,101100406,昔阳
769,101100407,寿阳
770,101100408,太谷
771,101100409,祁县
772,101100410,平遥
773,101100411,灵石
774,101100412,介休
775,101100501,长治
776,101100502,黎城
777,101100503,屯留
778,101100504,潞城
779,101100505,襄垣
780,101100506,平顺
781,101100507,武乡
782,101100508,沁县
783,101100509,长子
784,101100510,沁源
785,101100511,壶关
786,101100512,郊区
787,101100601,晋城
788,101100602,沁水
789,101100603,阳城
790,101100604,陵川
791,101100605,高平
792,101100606,泽州
793,101100701,临汾
794,101100702,曲沃
795,101100703,永和
796,101100704,隰县
797,101100705,大宁
798,101100706,吉县
799,101100707,襄汾
800,101100708,蒲县
801,101100709,汾西
802,101100710,洪洞
803,101100711,霍州
804,101100712,乡宁
805,101100713,翼城
806,101100714,侯马
807,101100715,浮山
808,101100716,安泽
809,101100717,古县
810,101100718,尧都
811,101100801,运城
812,101100802,临猗
813,101100803,稷山
814,101100804,万荣
